http://www.bergfex.at/val-thorens/wetter/	2016-03-25 19:41	2016-04-02	0
http://www.bergfex.at/val-thorens/wetter/berg	2016-03-25 19:41	2016-03-25	4
http://www.bergfex.at/val-thorens/wetter/berg	2016-03-25 19:41	2016-03-26	0
http://www.bergfex.at/val-thorens/wetter/berg	2016-03-25 19:41	2016-03-27	3
http://www.bergfex.at/val-thorens/wetter/berg	2016-03-25 19:41	2016-03-28	2
http://www.bergfex.at/val-thorens/wetter/berg	2016-03-25 19:41	2016-03-29	11
http://www.bergfex.at/val-thorens/wetter/berg	2016-03-25 19:41	2016-03-30	1
http://www.bergfex.at/val-thorens/wetter/berg	2016-03-25 19:41	2016-03-31	1
http://www.bergfex.at/val-thorens/wetter/berg	2016-03-25 19:41	2016-04-01	0
http://www.bergfex.at/val-thorens/wetter/berg	2016-03-25 19:41	2016-04-02	0
http://www.bergfex.at/soelden/wetter/berg/	2016-03-25 20:41	2016-03-25	6
http://www.bergfex.at/soelden/wetter/berg/	2016-03-25 20:41	2016-03-26	2
http://www.bergfex.at/soelden/wetter/berg/	2016-03-25 20:41	2016-03-27	6
http://www.bergfex.at/soelden/wetter/berg/	2016-03-25 20:41	2016-03-28	2
